TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59111970077968e+15,-4,-3,-13,-3,1,1,-2,-2
1.59111970077968e+15,2,-2,-31,2,3,3,2,4
1.59111970080346e+15,-13,-6,9,-10,-7,-7,-6,-8
1.59111970080346e+15,-2,1,16,5,-2,-2,-6,-5
1.59111970080346e+15,-3,1,5,1,1,1,1,-1
1.59111970080346e+15,-1,-3,-17,-2,-1,-1,0,-1
1.59111970081644e+15,2,-3,-31,-5,2,2,1,3
1.59111970081644e+15,1,-0,7,-1,-3,-3,-1,-4
1.59111970081743e+15,-1,-2,-2,-1,-1,-1,-3,-4
1.59111970081743e+15,1,-0,4,-1,-3,-3,-2,-2
1.59111970083936e+15,1,-1,-6,-3,1,1,-1,-2
1.59111970083936e+15,-1,-0,2,0,-1,-1,2,-1
1.59111970084027e+15,1,-3,-26,1,0,0,0,0
1.59111970084027e+15,-2,5,40,-1,0,0,-3,-1
1.59111970085441e+15,1,3,17,7,-3,-3,-2,1
1.59111970085441e+15,-1,-6,-28,-7,-2,-2,-2,-1
1.59111970085538e+15,-1,1,8,0,-1,-1,-1,-1
1.59111970085538e+15,-1,-0,2,-1,0,0,0,0
1.59111970087635e+15,0,-1,-16,-2,2,2,0,0
1.59111970087635e+15,0,5,22,2,1,1,-1,1
1.59111970088433e+15,-1,-0,0,0,-1,-1,-1,3
1.59111970088433e+15,-3,-3,-15,-3,-2,-2,-2,0
1.59111970089926e+15,1,1,5,0,1,1,2,-1
1.59111970089926e+15,-2,-5,-26,1,-2,-2,-1,-2
1.59111970090026e+15,-4,-1,5,-7,-2,-2,-1,0
1.59111970090026e+15,-5,2,26,3,-2,-2,-3,-4
1.59111970091408e+15,-3,-4,-10,-4,-2,-2,-3,-3
1.59111970091408e+15,1,-3,-21,-2,1,1,0,1
1.5911197009152e+15,1,5,37,1,0,0,0,-4
1.5911197009152e+15,-1,-0,0,2,-1,-1,-2,-6
1.5911197009371e+15,1,5,21,4,0,0,-1,2
1.5911197009371e+15,0,-2,-12,-1,-1,-1,-1,2
1.5911197009371e+15,3,4,15,4,1,1,1,1
1.5911197009371e+15,-8,-2,2,-2,-2,-2,-2,-4
1.59111970096036e+15,-2,-4,-17,-2,0,0,0,-6
1.59111970096036e+15,-4,-1,-3,-2,-3,-3,-1,3
1.59111970096074e+15,0,-4,-22,-3,-3,-3,-3,1
1.59111970096074e+15,0,2,15,0,-2,-2,-2,0
1.59111970097383e+15,-1,-0,0,-1,-1,-1,-1,1
1.59111970097383e+15,0,4,21,-1,-1,-1,-1,-1
1.59111970098137e+15,-2,-3,-12,-5,-2,-2,-3,-1
1.59111970098137e+15,3,-0,-9,-4,-1,-1,2,2
1.59111970099728e+15,-1,-2,-8,-1,-2,-2,-1,-4
1.59111970099728e+15,1,-1,3,-1,0,0,-2,-4
1.59111970099728e+15,-3,-2,-5,0,-2,-2,-2,-4
1.59111970099728e+15,4,2,2,0,-2,-2,-1,7
1.59111970101976e+15,-3,-4,-13,-7,-2,-2,-1,-3
1.59111970101976e+15,-2,-1,4,-2,-2,-2,0,-4
1.59111970102074e+15,-1,1,3,0,4,4,-1,-2
1.59111970102074e+15,0,-0,-1,-2,0,0,-2,-4
1.59111970103333e+15,1,-0,4,-2,-2,-2,-1,2
1.59111970103333e+15,-1,2,17,0,-2,-2,1,1
1.59111970104106e+15,-4,-6,-27,-2,-1,-1,-1,-5
1.59111970104106e+15,-1,1,3,1,-1,-1,-3,-1
1.59111970105711e+15,0,-2,-18,-2,1,1,-2,0
1.59111970105711e+15,1,-1,-11,0,0,0,0,-3
1.59111970105711e+15,-2,8,43,6,-2,-2,3,2
1.59111970105711e+15,-2,-6,-28,-6,-2,-2,-2,-3
1.59111970107932e+15,0,-0,3,-3,-3,-3,1,-1
1.59111970107932e+15,-1,-0,4,-1,-1,-1,-2,-1
1.59111970108636e+15,3,-1,-8,0,0,0,-3,-2
1.59111970108636e+15,1,1,4,1,-1,-1,1,1
1.59111970110953e+15,-3,-0,6,1,-2,-2,-2,0
1.59111970110953e+15,1,-1,-3,-1,-1,-1,-3,0
1.59111970111141e+15,1,-1,-4,-1,-1,-1,-2,-2
1.59111970111141e+15,-5,-2,-8,-3,-1,-1,-3,-2
