TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101201111471e+15,-1,-1,1,-1,-2,-2,-4,-3
1.59101201111471e+15,-1,-0,-3,0,1,1,-1,-2
1.59101201113066e+15,0,-0,-1,-1,-2,-2,0,1
1.59101201113066e+15,0,-0,-1,-1,0,0,1,-1
1.59101201113761e+15,2,-0,0,-3,-3,-3,0,0
1.59101201113761e+15,-1,-0,-1,-2,-3,-3,3,0
1.59101201113854e+15,-2,-1,-2,-2,-2,-2,1,0
1.59101201113854e+15,-1,-1,-1,-1,-1,-1,-3,-4
1.59101201114431e+15,-3,-0,-2,-1,-1,-1,-1,1
1.59101201114431e+15,-1,-1,-1,-1,-3,-3,-4,-4
1.59101201115928e+15,-1,-1,-3,-3,-2,-2,-1,-3
1.59101201115928e+15,-1,2,-2,0,0,0,5,3
1.59101201116826e+15,-2,-1,1,-1,0,0,-3,-6
1.59101201116826e+15,-1,-0,0,-1,-2,-2,-2,1
1.59101201116922e+15,-1,-1,-2,-1,-1,-1,-2,-3
1.59101201116922e+15,-2,-1,-1,-2,0,0,0,-1
1.59101201119116e+15,0,-0,-2,-2,-1,-1,0,2
1.59101201119116e+15,-2,-2,-2,-4,1,1,-2,-4
1.59101201119216e+15,1,-0,0,1,1,1,-1,0
1.59101201119216e+15,-2,-2,0,-2,-2,-2,-2,-8
1.59101201121214e+15,-1,-0,-1,-1,-1,-1,0,-2
1.59101201121214e+15,-3,-0,-1,0,1,1,-1,1
1.59101201122012e+15,-3,-3,-1,-2,-2,-2,-3,-9
1.59101201122012e+15,1,1,2,1,1,1,-1,4
1.5910120112271e+15,-1,-1,-2,-2,-2,-2,-2,0
1.5910120112271e+15,0,-1,-1,-1,-3,-3,-2,-2
1.59101201122806e+15,-1,-0,0,0,-1,-1,1,1
1.59101201122806e+15,-3,-2,-3,-1,-2,-2,-6,-4
1.59101201125047e+15,-2,-2,-3,-2,-2,-2,-3,-3
1.59101201125047e+15,-1,2,-1,1,0,0,5,4
1.59101201125744e+15,-1,-2,-1,-3,-1,-1,-5,-2
1.59101201125744e+15,-1,-1,1,-2,-2,-2,-3,-1
1.5910120112724e+15,-1,1,-1,1,1,1,-1,1
1.5910120112724e+15,-1,-1,-2,-3,-2,-2,-2,-1
1.59101201127336e+15,-2,-0,0,1,-1,-1,-1,-2
1.59101201127336e+15,-3,-1,-2,-2,-1,-1,-2,0
1.59101201128736e+15,-1,-0,0,-1,0,0,-1,-3
1.59101201128736e+15,-2,1,1,-2,0,0,2,2
1.59101201128832e+15,-1,-2,0,0,-2,-2,-4,-7
1.59101201128832e+15,-1,-0,-2,-1,0,0,-2,3
1.5910120113103e+15,1,2,-2,1,0,0,6,7
1.5910120113103e+15,0,-2,-1,-1,-1,-1,-6,-5
1.59101201131126e+15,0,-0,-1,-1,-1,-1,0,0
1.59101201131126e+15,-1,-0,0,1,0,0,0,0
1.5910120113332e+15,-3,-3,-3,-1,-3,-3,-5,-3
1.5910120113332e+15,0,1,-1,-2,-2,-2,1,2
1.59101201133421e+15,-2,-1,-2,-2,-4,-4,1,0
1.59101201133421e+15,-1,-1,0,-1,-2,-2,-4,-3
1.59101201134617e+15,-2,-2,-1,-2,-1,-1,-3,-4
1.59101201134617e+15,-2,-1,-3,-3,1,1,-4,-2
1.59101201136215e+15,-2,-0,-1,-3,-2,-2,2,3
1.59101201136215e+15,1,1,0,0,-1,-1,2,0
1.59101201137013e+15,0,-0,0,0,-1,-1,-2,-4
1.59101201137013e+15,1,-1,1,-1,-3,-3,0,-4
1.59101201137013e+15,-2,1,1,-1,0,0,0,0
1.59101201137013e+15,-1,-0,-1,-1,-2,-2,-1,-2
1.59101201139209e+15,-2,-1,-2,-2,-3,-3,-2,1
1.59101201139209e+15,0,2,-1,-2,1,1,5,5
1.59101201139305e+15,2,-0,-1,-1,0,0,-3,2
1.59101201139305e+15,-2,-2,-2,0,-2,-2,-3,-2
1.59101201140605e+15,-1,-0,0,0,0,0,-2,-4
1.59101201140605e+15,-4,-1,-2,0,-1,-1,2,-1
1.59101201141403e+15,-2,-0,-1,-1,1,1,0,0
1.59101201141403e+15,-1,-2,-2,-2,-2,-2,-4,-2
1.59101201142995e+15,0,-1,0,-1,-2,-2,-1,-2
1.59101201142995e+15,-1,-1,-3,-2,0,0,-2,-1
1.59101201143094e+15,-2,-1,-2,-2,-1,-1,0,-2
1.59101201143094e+15,-1,-1,-1,-2,-2,-2,0,-1
1.59101201145252e+15,-1,-0,0,-1,-2,-2,-1,0
1.59101201145252e+15,-1,-0,-2,1,-1,-1,1,-2
1.59101201145951e+15,-3,-3,-1,-1,-1,-1,-7,-12
1.59101201145951e+15,-2,-2,-2,-3,0,0,0,-5
1.59101201146649e+15,2,3,0,-1,0,0,3,12
1.59101201146649e+15,-2,-2,-2,-1,-2,-2,-2,-4
1.59101201147446e+15,-1,-0,-3,-2,-2,-2,1,2
1.59101201147446e+15,0,-0,-1,0,-1,-1,-2,-2
1.59101201148942e+15,-2,-2,-2,-2,-1,-1,-1,-5
1.59101201148942e+15,-4,-1,-1,-1,-1,-1,-3,-3
1.59101201149038e+15,2,2,-1,1,1,1,3,5
1.59101201149038e+15,0,-0,0,-2,0,0,0,-2
1.59101201152132e+15,-2,-2,-1,-3,-1,-1,-3,-3
1.59101201152132e+15,-1,-0,1,-1,-1,-1,0,-2
1.5910120115223e+15,-3,-1,-2,0,-1,-1,-2,-4
1.5910120115223e+15,-1,-1,-1,-1,0,0,-6,0
1.5910120115343e+15,-1,-1,-2,1,1,1,-2,-3
1.5910120115343e+15,-2,-1,0,-2,-1,-1,-3,-5
1.59101201153526e+15,-1,-1,-2,-1,-1,-1,-1,0
1.59101201153526e+15,-1,-1,-4,-1,-4,-4,2,1
1.59101201154882e+15,-2,-1,-2,-1,-2,-2,-2,-2
1.59101201154882e+15,0,-1,-2,0,-2,-2,-1,-2
1.59101201155779e+15,-2,-2,-1,-2,0,0,-2,-7
1.59101201155779e+15,-1,1,-2,0,0,0,4,5
1.59101201157275e+15,-1,-0,0,1,-1,-1,-3,-2
1.59101201157275e+15,1,1,0,-1,-2,-2,0,3
1.59101201157976e+15,-3,-1,0,-1,-1,-1,-2,-1
1.59101201157976e+15,-4,-1,0,-2,-1,-1,0,-4
1.59101201159469e+15,1,-1,-1,-2,-1,-1,-5,-5
1.59101201159469e+15,0,-0,-2,0,-2,-2,-1,0
1.59101201159568e+15,-1,-0,-2,-3,-1,-1,4,3
1.59101201159568e+15,0,-1,0,-2,-1,-1,-2,-4
1.59101201160888e+15,-1,1,0,-3,1,1,2,3
1.59101201160888e+15,-3,-2,-1,-3,-2,-2,-6,-5
1.59101201161779e+15,-2,-0,-2,-1,-1,-1,-2,1
1.59101201161779e+15,-1,1,-1,0,-1,-1,2,4
1.59101201163274e+15,0,-1,-2,-1,0,0,1,-2
1.59101201163274e+15,-1,-2,-1,-1,0,0,-4,-6
1.59101201163371e+15,0,-0,-1,1,-1,-1,0,-2
1.59101201163371e+15,0,-0,-1,-3,-2,-2,2,5
1.5910120116549e+15,-1,-0,-1,0,-2,-2,-2,0
1.5910120116549e+15,-5,-1,-1,0,0,0,-2,-1
1.59101201165597e+15,-2,-0,-3,-4,-2,-2,0,3
1.59101201165597e+15,-1,-1,0,-1,-1,-1,-3,0
1.591012011678e+15,0,-1,-2,-3,-3,-3,-2,0
1.591012011678e+15,-1,-1,0,-3,-2,-2,-3,0
1.591012011679e+15,0,-0,0,-1,0,0,0,-1
1.591012011679e+15,-3,-1,0,-1,0,0,-3,-3
1.5910120116921e+15,-2,-1,-1,0,-3,-3,-1,2
1.5910120116921e+15,-2,-1,-4,1,-1,-1,-3,-1
1.59101201169296e+15,0,-0,-1,0,-1,-1,-1,0
1.59101201169296e+15,-2,-2,-2,-1,-3,-3,-2,-4
1.5910120117149e+15,-2,-1,-2,0,-2,-2,1,-2
1.5910120117149e+15,0,-0,-1,0,1,1,-1,-4
1.5910120117159e+15,0,-0,-3,-1,-1,-1,0,1
1.5910120117159e+15,-1,-0,-1,-1,-2,-2,-1,7
1.59101201173912e+15,-2,-0,-1,-1,1,1,-1,-3
1.59101201173912e+15,0,-0,-1,-1,-1,-1,1,-1
1.59101201173912e+15,0,-0,-1,1,1,1,-1,-3
1.59101201173912e+15,-1,-1,-1,-1,0,0,-3,-6
1.59101201175212e+15,-1,-2,0,-3,-1,-1,-4,-7
1.59101201175212e+15,0,-0,-1,0,1,1,0,1
1.59101201175301e+15,-1,-0,-1,-1,-3,-3,-1,1
1.59101201175301e+15,0,-0,-2,0,0,0,0,-2
1.59101201177504e+15,-3,-1,-2,-3,-1,-1,-1,-1
1.59101201177504e+15,1,-0,0,-2,-2,-2,0,0
1.59101201177596e+15,0,-1,0,-1,-1,-1,-3,-7
1.59101201177596e+15,1,1,-2,-1,-1,-1,4,3
1.59101201179892e+15,-1,1,-2,2,0,0,1,3
1.59101201179892e+15,-1,-0,-3,-1,-1,-1,1,1
1.59101201179892e+15,0,1,0,0,0,0,-1,-2
1.59101201179892e+15,-2,-1,0,-2,-2,-2,-1,0
1.59101201181189e+15,-1,-0,0,-2,0,0,-3,-1
1.59101201181189e+15,-1,-1,0,0,-2,-2,1,2
1.59101201181288e+15,-1,-1,-2,-1,-1,-1,-4,-3
1.59101201181288e+15,-1,-2,-1,-1,-1,-1,-4,-7
1.59101201183483e+15,-1,-1,-2,-2,-2,-2,1,-1
1.59101201183483e+15,-1,-0,1,-2,-3,-3,-2,2
1.59101201183582e+15,-4,-1,-1,-2,-1,-1,-3,-1
1.59101201183582e+15,-1,-2,-3,-1,-2,-2,-1,-4
1.59101201185776e+15,0,-1,-2,-3,-1,-1,1,-1
1.59101201185776e+15,1,-0,-2,-1,-3,-3,-1,0
1.59101201185876e+15,-1,-0,-1,1,-1,-1,0,0
1.59101201185876e+15,1,-0,1,-1,-1,-1,-1,2
1.59101201187173e+15,-3,-2,-3,-3,-1,-1,-4,-2
